date,open,high,low,close,adj close,volume,rsi,ma
2023-05-25,186.539993,186.779999,180.580002,184.470001,184.470001,96870700,66.26044231056932,178.43680052000002,
2023-05-26,184.619995,198.600006,184.529999,193.169998,193.169998,162061500,70.846339135069,178.55160032000003,
2023-05-30,200.100006,204.479996,197.529999,201.160004,201.160004,128818700,78.26241092045798,178.63660032000004,
2023-05-31,199.779999,203.949997,195.119995,203.929993,203.929993,150711700,80.09865930586759,178.94820036000004,
2023-06-01,202.589996,209.800003,199.369995,207.520004,207.520004,148029900,80.11557138787026,179.38220030000005,
2023-06-02,210.149994,217.25,209.75,213.970001,213.970001,164129000,87.57968195025111,179.66840024000004,
2023-06-05,217.800003,221.289993,214.520004,217.610001,217.610001,151143100,90.55379543768017,179.88540006000002,
2023-06-06,216.139999,221.910004,212.529999,221.309998,221.309998,146911600,91.05349714092596,180.33620022,
2023-06-07,228.0,230.830002,223.199997,224.570007,224.570007,185710800,90.47086953284986,180.82600032000002,
2023-06-08,224.220001,235.229996,223.009995,234.860001,234.860001,164489700,91.46044820709781,181.49760036,
2023-06-09,249.070007,252.419998,242.020004,244.399994,244.399994,199882300,92.16535270992203,182.14200037999998,
2023-06-12,247.940002,250.970001,244.589996,249.830002,249.830002,150337900,91.81069922776004,183.26080041999995,
2023-06-13,253.509995,259.679993,251.339996,258.709991,258.709991,162384300,96.35230078207796,184.30800041999996,
2023-06-14,260.170013,261.570007,250.5,256.790009,256.790009,170575500,97.52993372093925,185.42760034,
2023-06-15,248.399994,258.950012,247.289993,255.899994,255.899994,160171200,96.35302079934159,186.63280052000002,
2023-06-16,258.920013,263.600006,257.209991,260.540009,260.540009,167563700,96.15016192970529,187.65440026,
2023-06-20,261.5,274.75,261.119995,274.450012,274.450012,165611200,96.43898500978366,189.02240044000007,
2023-06-21,275.130005,276.98999,257.779999,259.459991,259.459991,211797100,80.46745159779046,190.59080040000003,
2023-06-22,250.770004,265.0,248.25,264.609985,264.609985,166875900,80.79618649762465,192.49460046000007,
2023-06-23,259.290009,262.450012,252.800003,256.600006,256.600006,176584100,72.61538750785556,193.77620050000002,
2023-06-26,250.070007,258.369995,240.699997,241.050003,241.050003,179990600,61.03994044762734,195.14720058000003,
2023-06-27,243.240005,250.389999,240.850006,250.210007,250.210007,164968200,62.94571164207664,196.48940058000008,
2023-06-28,249.699997,259.880005,248.889999,256.23999,256.23999,159770800,63.84298789519008,197.67520074,
2023-06-29,258.029999,260.73999,253.610001,257.5,257.5,131283400,60.744115041231154,198.94280054000004,
2023-06-30,260.600006,264.450012,259.890015,261.769989,261.769989,112267600,58.67718846424162,200.36040064000005,
2023-07-03,276.48999,284.25,275.109985,279.820007,279.820007,119685900,63.30405628142771,201.99040064000005,
2023-07-05,278.820007,283.850006,277.600006,282.480011,282.480011,131530900,61.16067965805621,204.19680048,
2023-07-06,278.089996,279.970001,272.880005,276.540009,276.540009,120332100,58.93583967574349,206.47720056000003,
2023-07-07,278.429993,280.779999,273.769989,274.429993,274.429993,113602000,58.292308332724964,208.74600060000003,
2023-07-10,276.470001,277.519989,265.100006,269.609985,269.609985,119425400,54.05235155231924,211.11820032000003,
2023-07-11,268.649994,270.899994,266.369995,269.790009,269.790009,91972400,47.62680770549577,213.44180048,
2023-07-12,276.329987,276.519989,271.459991,271.98999,271.98999,95672100,57.33692282405618,215.76200038000007,
2023-07-13,274.589996,279.450012,270.600006,277.899994,277.899994,112681500,57.71329375702445,218.07060024000003,
2023-07-14,277.01001,285.299988,276.309998,281.380005,281.380005,119771100,65.18009170221481,220.29900020000005,
2023-07-17,286.630005,292.230011,283.570007,290.380005,290.380005,131569600,82.855978763516,222.60160030000003,
2023-07-18,290.149994,295.26001,286.01001,293.339996,293.339996,112434700,81.31259134868237,225.13400050000004,
2023-07-19,296.040009,299.290009,289.519989,291.26001,291.26001,142355400,76.97165454786203,227.68280024,
2023-07-20,279.559998,280.929993,261.200012,262.899994,262.899994,175158300,52.93413989668556,230.32420039999997,
2023-07-21,268.0,268.0,255.800003,260.019989,260.019989,161050100,49.034536728683385,232.44100034000002,
2023-07-24,255.850006,269.850006,254.119995,269.059998,269.059998,136508500,43.4084774040283,234.42200040000003,
2023-07-25,272.380005,272.899994,265.0,265.279999,265.279999,112757300,39.60599396287543,236.08800045999996,
2023-07-26,263.25,268.040009,261.75,264.350006,264.350006,95856200,42.15875707157399,238.16160061999994,
2023-07-27,268.309998,269.130005,255.300003,255.710007,255.710007,103697300,38.89153796368397,239.90520048,
2023-07-28,259.859985,267.25,258.230011,266.440002,266.440002,111446000,48.24221884053626,241.91820036,
2023-07-31,267.480011,269.079987,263.779999,267.429993,267.429993,84582200,48.703002572653915,243.80240017999998,
2023-08-01,266.26001,266.470001,260.25,261.070007,261.070007,83166000,44.261096950982285,245.78380031999993,
2023-08-02,255.570007,259.519989,250.490005,254.110001,254.110001,101752900,37.63385163988016,247.62460049999999,
2023-08-03,252.039993,260.48999,252.0,259.320007,259.320007,97569100,38.735701564977816,249.19260067999997,
2023-08-04,260.970001,264.769989,253.110001,253.860001,253.860001,99242600,30.652676073660885,250.61940059999998,
2023-08-07,251.449997,253.649994,242.759995,251.449997,251.449997,111097900,27.677715787299206,252.11480067999997,
2023-08-08,247.449997,250.919998,245.009995,249.699997,249.699997,96642200,27.77539768309127,253.4992007,
2023-08-09,250.869995,251.100006,241.899994,242.190002,242.190002,101596300,35.74673523028784,254.71740077999996,
2023-08-10,245.399994,251.800003,243.0,245.339996,245.339996,109498600,39.93417689085309,256.0424007799999,
2023-08-11,241.770004,243.789993,238.020004,242.649994,242.649994,98866600,30.16372726347386,256.94840053999997,
2023-08-14,235.699997,240.660004,233.75,239.759995,239.759995,98595300,30.572462450351708,257.7882006399999,
2023-08-15,238.729996,240.5,232.610001,232.960007,232.960007,88197600,28.064282513825205,258.45040065999996,
2023-08-16,228.020004,233.970001,225.380005,225.600006,225.600006,112484500,28.575485577602265,259.0220007,
2023-08-17,226.059998,226.740005,218.830002,219.220001,219.220001,120718400,14.183849228237833,259.22640071999996,
2023-08-18,214.119995,217.580002,212.360001,215.490005,215.490005,135813700,12.175941539634394,259.4248007,
2023-08-21,221.550003,232.130005,220.580002,231.279999,231.279999,135702700,30.925848683613722,259.14720059999996,
2023-08-22,240.25,240.820007,229.550003,233.190002,233.190002,130597900,35.67907926825785,259.0938006399999,
